Modelo,k features,Recall CV,Recall Teste,Gap CV-Teste,F1 Teste,FN,FP
Decision Tree,7,0.8153,0.8242,0.009,0.6939,29,91
SVM,5,0.7881,0.697,-0.0911,0.6609,50,68
Random Forest,10,0.761,0.6909,-0.0701,0.6726,51,60
Regressao Logistica,12,0.7367,0.6727,-0.064,0.6768,54,52
