Left Hand Side,Right Hand Side,Support,Confidence,Lift,Support_abs
Deli Nature 22 - Amazonas Park (15kg),Deli Nature 23 - Pantanal (12.5kg),0.0005895910382162191,0.23741007194244604,80.04866949813643,33
Fertizoon AD3EC 30ml,Vita B Complexo 30ml,0.0005538582480212967,0.2583333333333333,76.91050531914892,31
Bayer - Advantix 25 a 40kg - 4 Pipetas,Bayer - Advantix 4 a 10kg - 4 Pipetas,0.0005181254578263744,0.14427860696517414,76.18318783441285,29
Papa Frutos Tropicais Pet Cup » 750Gr,Papa Ovo Humida Pet Cup 750Gr.,0.0006789230137035251,0.2657342657342658,69.17866319726787,38
Pet Cup - Mistura Papagaios Africanos Premium (15kg),Pet Cup - Papagaios Amazonas Premium (15kg),0.0011434492862375158,0.2570281124497992,68.50533562822719,64
Casca Ostra Fina Pet Cup » 1.5kg,Grite para Passáros Pet Cup » 1.5kg,0.0007682549891908309,0.2885906040268456,61.887757463550095,43
Pet Cup - Mistura Araras Premium (12kg),Pet Cup - Papagaios Amazonas Premium (15kg),0.0009111861499705204,0.2286995515695067,60.954964766175515,51
Rolo Papel de Alcatrão 40cm,Rolo Papel de Alcatrão 57cm,0.0005002590627289132,0.112,59.139169811320755,28
Art.432 - Ninho p/ Exóticos,Art.84 - Ninho Plastico Diamante Gold,0.0007325221989959086,0.12538226299694188,58.48142201834862,41
Ninho Plástico Grande c/ Grampo - 12cm,Ninho Sisal Cosido Ø12x4cm,0.0010005181254578264,0.16279069767441862,57.66808949072711,56
Deli Nature 64 - Papagaios Suprema (15kg),Loro Parque Mix Papagaio Africano » 15kg,0.0006431902235086027,0.2926829268292683,55.15742793791574,36
Seresto Grande (70cm) Cão,Seresto Pequeno (38cm) Cão,0.0018402386950385021,0.21775898520084566,54.65555229002929,103
Coleira Seresto Gato,Seresto Pequeno (38cm) Cão,0.0010362509156527488,0.20714285714285716,51.99099935938501,58
Versele-Laga - Cuni Adult Complete 1.75kg,Versele-Laga - Feno Nature Timothy Hay (1kg),0.0011970484715298994,0.8481012658227848,51.42911803831754,67
Nutribird - Gold Patee Gr. Periquitos & Papagaios    1kg,Psittacus - Alimento Manutenção Alta Proteina » 800gr (800Gr.),0.0005717246431187579,0.1,50.88272727272727,32
Versele-Laga - Cuni Adult Complete » 500Gr.,Versele-Laga - Feno Nature Timothy Hay (1kg),0.0005717246431187579,0.8205128205128206,49.7561463455288,32
Mistura Rolas » 20kg,Oke Cat - Classic Variety (10kg),0.0005359918529238356,0.1754385964912281,48.853102906520036,30
Deli Nature 20 - Serengeti (15kg),Deli Nature 23 - Pantanal (12.5kg),0.0007861213842882921,0.14285714285714285,48.167814113597245,44
Pet Cup - Mistura Araras Premium (12kg),Pet Cup - Mistura Papagaios Africanos Premium (15kg),0.0008218541744832146,0.20627802690582958,46.367821060024845,46
Campeão Cão Adulto Mix (20kg),Campeão Cão Adulto » 20kg,0.0006074574333136803,0.15525114155251143,42.805722383426684,34
Orniluck Chia - 1kg,Semente Fonio - 750Gr. (Balde),0.0005002590627289132,0.2074074074074074,42.679411764705875,28
Semente Linhaça Castanha (0.850kg),Niger » 700Gr.,0.0005717246431187579,0.29357798165137616,42.45956902069555,32
Pet Cup - Mistura Periquitos Standard » 20kg,Pet Cup - Mistura Psitacideos Standard » 20KG,0.0005181254578263744,0.12083333333333333,41.74791666666667,29
Mistura Gr. Periquitos Loropark Australian 2.5kg,Nutribird - Gold Patee Gr. Periquitos & Papagaios    1kg,0.0006789230137035251,0.23750000000000002,41.540976562500006,38
Loro Parque Mix Arara » 15kg,Loro Parque Mix Papagaio Africano » 15kg,0.0007861213842882921,0.2146341463414634,40.44878048780488,44
Easyyem - Papa Amarela Canários Porte (5kg),Rolo Papel Absorvente Impermeável p/ Viveiro » 100x0.37Mt,0.0006431902235086027,0.14937759336099585,37.49243622425246,36
FELIX Fantastic Seleção de Favoritos em Gelatina - Jumbo Pack 44x85Gr.,"GOURMET GOLD Tartelette para Gato - Frango, Vaca, Atum e Salmão (Pack 24x85Gr.)",0.0013935788176019724,0.16883116883116883,37.2033439001943,78
Cubetto Wood - Madeira Natural Prensada (7kg),Versele-Laga - Feno Nature Timothy Hay (1kg),0.0015722427685765843,0.5789473684210525,35.10754404972344,88
Rolo Papel de Alcatrão 40cm,Rolo Papel de Alcatrão » 35cm,0.0006253238284111414,0.13999999999999999,34.36815789473684,35
Coleira Seresto Gato,Seresto Grande (70cm) Cão,0.001447178002894356,0.28928571428571426,34.231735125339775,81
FELIX Fantastic Seleção de Favoritos em Gelatina - Jumbo Pack 44x85Gr.,"GOURMET GOLD Mousse para Gato - Coelho, Vaca, Vitela e Borrego (Pack 24x85Gr.)",0.0012506476568222829,0.15151515151515152,33.6525974025974,70
Psittacus - Alimento Manutenção Alta Proteina » 800gr (800Gr.),Pet Cup - Mistura Psitacideos Classic (20Kg),0.0005181254578263744,0.2636363636363636,33.30923455776728,29
Versele-Laga - Cuni Adult Complete 8kg,Versele-Laga - Feno Nature Timothy Hay (1kg),0.0006431902235086027,0.5294117647058824,32.10369001338347,36
